compound_id,smiles,compound_name,compound_class,traditional_source,traditional_region,traditional_use,antioxidant_probability,antioxidant_active,anti_inflammatory_probability,anti_inflammatory_active,antimicrobial_probability,antimicrobial_active,neuroprotective_probability,neuroprotective_active
NP_0001,c1cc(ccc1c2cc(=O)c3c(cc(cc3o2)O)O)O,Quercetin,flavonoids,Allium cepa,Europe,cardiovascular,0.91,1,0.87,1,0.43,0,0.72,1
NP_0002,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,alkaloids,Coffea arabica,Africa,stimulant,0.34,0,0.29,0,0.87,1,0.84,1
NP_0003,COc1cc(ccc1O)C=CC(=O)CC(=O)C=Cc2ccc(c(c2)OC)O,Curcumin,phenolic_acids,Curcuma longa,Asia,anti-inflammatory,0.89,1,0.94,1,0.76,1,0.68,1
NP_0004,c1cc(ccc1C=Cc2cc(cc(c2)O)O)O,Resveratrol,phenolic_acids,Vitis vinifera,Mediterranean,cardiovascular,0.93,1,0.82,1,0.51,1,0.77,1
NP_0005,CN1CCc2cc3c(cc2C1)OCO3,Berberine,alkaloids,Berberis vulgaris,Asia,antimicrobial,0.67,1,0.71,1,0.91,1,0.58,1
NP_0006,c1cc(c(cc1CC(C(=O)O)N)O)O,L-DOPA,phenolic_acids,Mucuna pruriens,Africa,neuroprotective,0.78,1,0.65,1,0.23,0,0.89,1
NP_0007,CC1=C2CC(CC(C2CCC1)(C)C)C(=C)C,Limonene,terpenoids,Citrus limon,Mediterranean,digestive,0.72,1,0.68,1,0.84,1,0.41,0
NP_0008,c1cc(ccc1c2cc(=O)c3c(cc(cc3o2)O)O)O,Kaempferol,flavonoids,Ginkgo biloba,Asia,cognitive,0.88,1,0.79,1,0.45,0,0.81,1
NP_0009,COc1cc(cc(c1O)OC)c2cc(=O)c3c(cc(c(c3o2)O)O)O,Myricetin,flavonoids,Myrica cerifera,Americas,antioxidant,0.95,1,0.85,1,0.48,0,0.73,1
NP_0010,c1cc(ccc1C=CC(=O)O)O,p-Coumaric acid,phenolic_acids,Helianthus annuus,Americas,antimicrobial,0.84,1,0.77,1,0.79,1,0.38,0
NP_0011,COc1cc(ccc1O)C=CC(=O)O,Ferulic acid,phenolic_acids,Oryza sativa,Asia,antioxidant,0.87,1,0.81,1,0.52,1,0.44,0
NP_0012,c1cc(c(c(c1)O)O)C(=O)O,Gallic acid,phenolic_acids,Terminalia chebula,Asia,antimicrobial,0.92,1,0.74,1,0.88,1,0.31,0
NP_0013,CC(C)C1CCC2(C(C1)C(=C)C(=O)O2)C,Parthenolide,terpenoids,Tanacetum parthenium,Europe,anti-inflammatory,0.65,1,0.89,1,0.57,1,0.69,1
NP_0014,c1cc(ccc1c2cc(=O)c3c(cc(cc3o2)O)O)O,Luteolin,flavonoids,Apium graveolens,Mediterranean,anti-inflammatory,0.86,1,0.91,1,0.44,0,0.66,1
NP_0015,CCN(CC)CCc1c[nH]c2ccc(cc12)O,Serotonin,alkaloids,Griffonia simplicifolia,Africa,neuroprotective,0.42,0,0.38,0,0.29,0,0.93,1
NP_0016,CC1CCC2(C(C1)C(=C)C(=O)O2)C,Artemisinin,terpenoids,Artemisia annua,Asia,antimicrobial,0.58,1,0.72,1,0.95,1,0.47,0
NP_0017,c1cc(cc(c1)O)C=CC(=O)O,Caffeic acid,phenolic_acids,Coffea arabica,Africa,antioxidant,0.89,1,0.83,1,0.68,1,0.52,1
NP_0018,CN1c2ccccc2C(=O)N(C1=O)C,Theobromine,alkaloids,Theobroma cacao,Americas,stimulant,0.36,0,0.32,0,0.41,0,0.78,1
NP_0019,CC(C)(C)c1cc(cc(c1O)C(C)(C)C)C(=O)O,Carnosic acid,phenolic_acids,Rosmarinus officinalis,Mediterranean,antioxidant,0.94,1,0.86,1,0.72,1,0.59,1
NP_0020,c1ccc2c(c1)c(c[nH]2)CC(C(=O)O)N,Tryptophan,alkaloids,Sesamum indicum,Asia,neuroprotective,0.41,0,0.34,0,0.28,0,0.87,1
NP_0021,c1cc(ccc1O)C=CC(=O)O,Paracoumaric acid,phenolic_acids,Allium sativum,Asia,antimicrobial,0.82,1,0.75,1,0.89,1,0.39,0
NP_0022,COc1cc(ccc1O)C=CC(=O)O,Isoferulic acid,phenolic_acids,Pinus pinaster,Europe,cardiovascular,0.85,1,0.79,1,0.46,0,0.63,1
NP_0023,c1cc(ccc1c2cc(=O)c3c(cc(cc3o2)O)O)O,Chrysin,flavonoids,Passiflora incarnata,Americas,neuroprotective,0.87,1,0.71,1,0.48,0,0.89,1
NP_0024,CC(C)C1CCC2(C(C1)CCC3(C2CC=C(C3)C(=O)O)C)C,Oleanolic acid,terpenoids,Olea europaea,Mediterranean,anti-inflammatory,0.69,1,0.92,1,0.64,1,0.55,1
NP_0025,c1cc(c(cc1C=CC(=O)O)O)OC,Sinapic acid,phenolic_acids,Brassica nigra,Europe,antioxidant,0.91,1,0.78,1,0.57,1,0.42,0
NP_0026,CC(C)C1CCC2(C(C1)CCC3(C2CC=C(C3)C(=O)O)C)C,Ursolic acid,terpenoids,Arctostaphylos uva-ursi,Americas,antimicrobial,0.71,1,0.88,1,0.83,1,0.49,0
NP_0027,c1cc(ccc1c2cc(=O)c3c(cc(cc3o2)O)O)O,Apigenin,flavonoids,Matricaria chamomilla,Europe,anti-inflammatory,0.84,1,0.89,1,0.51,1,0.74,1
NP_0028,CC(C)C1CCC2(C(C1)CCC3(C2CC=C(C3)C(=O)O)C)C,Betulinic acid,terpenoids,Betula pendula,Europe,antimicrobial,0.66,1,0.82,1,0.91,1,0.43,0
NP_0029,c1cc(c(cc1C=CC(=O)O)O)O,Rosmarinic acid,phenolic_acids,Rosmarinus officinalis,Mediterranean,antioxidant,0.93,1,0.87,1,0.76,1,0.61,1
NP_0030,CC(C)C1CCC2(C(C1)CCC3(C2CC=C(C3)C(=O)O)C)C,Maslinic acid,terpenoids,Olea europaea,Mediterranean,anti-inflammatory,0.67,1,0.85,1,0.69,1,0.52,1
NP_0031,CCO,Ethanol,inactive_controls,synthetic,Industrial,inactive,0.12,0,0.08,0,0.15,0,0.09,0
NP_0032,c1ccccc1,Benzene,inactive_controls,synthetic,Industrial,inactive,0.07,0,0.04,0,0.11,0,0.06,0
NP_0033,CC(=O)O,Acetic acid,inactive_controls,synthetic,Industrial,inactive,0.19,0,0.14,0,0.28,0,0.12,0
NP_0034,CCCCCCCCCCCCCCCC(=O)O,Palmitic acid,inactive_controls,synthetic,Industrial,inactive,0.22,0,0.18,0,0.09,0,0.13,0
NP_0035,c1cc(ccc1c2cc(=O)c3c(cc(cc3o2)O)O)O,Rutin,flavonoids,Fagopyrum esculentum,Asia,cardiovascular,0.89,1,0.83,1,0.47,0,0.71,1
NP_0036,CC(C)C1CCC2(C(C1)CCC3(C2CC=C(C3)C(=O)O)C)C,Glycyrrhizic acid,terpenoids,Glycyrrhiza glabra,Asia,anti-inflammatory,0.73,1,0.91,1,0.68,1,0.58,1
NP_0037,c1cc(ccc1c2cc(=O)c3c(cc(cc3o2)O)O)O,Naringenin,flavonoids,Citrus aurantium,Asia,antioxidant,0.86,1,0.76,1,0.39,0,0.68,1
NP_0038,COc1cc(ccc1O)C=CC(=O)O,Vanillic acid,phenolic_acids,Vanilla planifolia,Americas,antioxidant,0.82,1,0.74,1,0.45,0,0.41,0
NP_0039,CC(C)C1CCC2(C(C1)CCC3(C2CC=C(C3)C(=O)O)C)C,Asiatic acid,terpenoids,Centella asiatica,Asia,neuroprotective,0.71,1,0.89,1,0.54,1,0.87,1
NP_0040,c1cc(ccc1c2cc(=O)c3c(cc(cc3o2)O)O)O,Hesperidin,flavonoids,Citrus sinensis,Mediterranean,cardiovascular,0.87,1,0.81,1,0.43,0,0.73,1
NP_0041,CC(C)C1CCC2(C(C1)CCC3(C2CC=C(C3)C(=O)O)C)C,Ginsenoside,terpenoids,Panax ginseng,Asia,neuroprotective,0.68,1,0.84,1,0.57,1,0.91,1
NP_0042,c1cc(c(cc1C=CC(=O)O)O)O,Protocatechuic acid,phenolic_acids,Hibiscus sabdariffa,Africa,antioxidant,0.88,1,0.82,1,0.71,1,0.46,0
NP_0043,CC(C)C1CCC2(C(C1)CCC3(C2CC=C(C3)C(=O)O)C)C,Saponin,saponins,Quillaja saponaria,Americas,antimicrobial,0.62,1,0.75,1,0.86,1,0.49,0
NP_0044,c1cc(ccc1c2cc(=O)c3c(cc(cc3o2)O)O)O,Vitexin,flavonoids,Vitex agnus-castus,Europe,anti-inflammatory,0.83,1,0.88,1,0.42,0,0.69,1
NP_0045,CC(C)C1CCC2(C(C1)CCC3(C2CC=C(C3)C(=O)O)C)C,Escin,saponins,Aesculus hippocastanum,Europe,anti-inflammatory,0.64,1,0.86,1,0.73,1,0.51,1
NP_0046,c1cc(c(cc1C=CC(=O)O)O)O,Chlorogenic acid,phenolic_acids,Coffea arabica,Africa,antioxidant,0.91,1,0.85,1,0.62,1,0.55,1
NP_0047,CC(C)C1CCC2(C(C1)CCC3(C2CC=C(C3)C(=O)O)C)C,Baicalin,flavonoids,Scutellaria baicalensis,Asia,antimicrobial,0.78,1,0.81,1,0.89,1,0.67,1
NP_0048,c1cc(ccc1c2cc(=O)c3c(cc(cc3o2)O)O)O,Diosmin,flavonoids,Dioscorea villosa,Americas,cardiovascular,0.85,1,0.79,1,0.41,0,0.72,1
NP_0049,CC(C)C1CCC2(C(C1)CCC3(C2CC=C(C3)C(=O)O)C)C,Astragaloside,saponins,Astragalus membranaceus,Asia,neuroprotective,0.69,1,0.88,1,0.76,1,0.89,1
NP_0050,c1cc(c(cc1C=CC(=O)O)O)O,Epicatechin,flavonoids,Camellia sinensis,Asia,antioxidant,0.92,1,0.83,1,0.53,1,0.74,1

